Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Jorge Cuenca,Fulham,DF,26-029,0,0,169,3,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,25,25000.0,1300000.0,£
Josh Cullen,Burnley,MF,29-253,2,2,"1,372",16,,,0.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,29,55000.0,2860000.0,£
Jair Cunha,Nott'ham Forest,DF,20-284,0,0,90,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,20,35000.0,1820000.0,£
Matheus Cunha,Manchester Utd,"MF,FW",26-203,2,1,939,13,,,3.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,SS,26,180000.0,9360000.0,£
Diogo Dalot,Manchester Utd,DF,26-273,1,2,957,14,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,26,85000.0,4420000.0,£
Mikkel Damsgaard,Brentford,MF,25-166,1,1,"1,005",14,,,0.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,25,75000.0,3900000.0,£
Kevin Danso,Tottenham,DF,27-088,0,0,495,11,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,26,65000.0,3380000.0,£
Karl Darlow,Leeds United,GK,35-069,0,0,450,5,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,GK,34,30000.0,1560000.0,£
Ben Davies,Tottenham,DF,32-236,0,0,32,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,32,80000.0,4160000.0,£
Maxim De Cuyper,Brighton,"DF,FW",24-359,2,0,704,13,,,1.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,24,55000.0,2860000.0,£
Liam Delap,Chelsea,FW,22-311,0,0,348,8,,,0.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,22,100000.0,5200000.0,£
Sepp van den Berg,Brentford,DF,23-361,0,0,"1,440",16,,,1.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,23,20000.0,1040000.0,£
Justin Devenny,Crystal Palace,"MF,FW",22-066,0,0,206,12,,,0.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,21,20000.0,1040000.0,£
Kiernan Dewsbury-Hall,Everton,MF,27-101,4,2,"1,257",15,,,1.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,26,90000.0,4680000.0,£
Bafodé Diakité,Bournemouth,DF,24-344,0,0,"1,125",13,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,24,70000.0,3640000.0,£
Amad Diallo,Manchester Utd,"DF,MF",23-158,2,2,"1,203",15,,,3.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,23,120000.0,6240000.0,£
Habib Diarra,Sunderland,MF,21-347,0,0,345,4,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,21,50000.0,2600000.0,£
Rúben Dias,Manchester City,DF,28-216,2,0,"1,356",16,,,0.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,28,250000.0,13000000.0,£
Tyler Dibling,Everton,FW,19-279,0,0,88,7,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,19,40000.0,2080000.0,£
Lucas Digne,Aston Villa,DF,32-149,0,3,990,15,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,32,135000.0,7020000.0,£
Issa Diop,Fulham,DF,28-341,0,0,224,3,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,28,70000.0,3640000.0,£
El Hadji Malick Diouf,West Ham,DF,20-353,0,3,"1,387",16,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,20,35000.0,1820000.0,£
Matt Doherty,Wolves,DF,33-334,0,0,359,5,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,33,50000.0,2600000.0,£
Jeremy Doku,Manchester City,"MF,FW",23-203,1,4,938,15,,,1.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Nicolás Domínguez,Nott'ham Forest,"FW,MF",27-171,0,0,246,7,,,0.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,27,35000.0,1820000.0,£
Gianluigi Donnarumma,Manchester City,GK,26-294,0,0,"1,170",13,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,GK,26,250000.0,13000000.0,£
Patrick Dorgu,Manchester Utd,DF,21-051,0,1,715,15,,,0.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,20,40000.0,2080000.0,£
Max Dowman,Arsenal,FW,15-350,0,0,29,2,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,15,35000.0,1820000.0,£
Martin Dúbravka,Burnley,GK,36-335,0,0,"1,440",16,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Lewis Dunk,Brighton,DF,34-025,0,0,"1,395",16,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,33,80000.0,4160000.0,£
Odsonne Édouard,Crystal Palace,FW,27-334,0,0,3,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Marcus Edwards,Burnley,"FW,MF",27-013,0,0,87,6,,,0.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,26,50000.0,2600000.0,£
Hjalmar Ekdal,Burnley,DF,27-056,0,0,802,10,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,26,25000.0,1300000.0,£
Hugo Ekitike,Liverpool,FW,23-179,7,1,868,15,,,4.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Anthony Elanga,Newcastle Utd,"FW,MF",23-233,0,1,666,16,,,1.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,23,100000.0,5200000.0,£
Harvey Elliott,Liverpool,"MF,FW",22-256,0,0,1,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Harvey Elliott,Aston Villa,"MF,FW",22-256,0,0,98,3,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,22,65000.0,3380000.0,£
Wataru Endo,Liverpool,"MF,DF",32-310,0,1,47,5,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,32,50000.0,2600000.0,£
Romain Esse,Crystal Palace,FW,20-217,0,0,25,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,20,15000.0,780000.0,£
Maxime Estève,Burnley,DF,23-204,0,0,"1,431",16,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,23,50000.0,2600000.0,£
Evanilson,Bournemouth,FW,26-071,2,0,"1,083",14,,,4.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,25,85000.0,4420000.0,£
Eberechi Eze,Arsenal,"MF,FW",27-170,4,2,910,14,,,2.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,27,180000.0,9360000.0,£
Eberechi Eze,Crystal Palace,MF,27-170,0,0,83,1,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Bruno Fernandes,Manchester Utd,MF,31-099,5,7,"1,430",16,,,6.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,30,300000.0,15600000.0,£
Mateus Fernandes,West Ham,"MF,FW",21-159,2,1,"1,067",14,,,0.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,21,60000.0,3120000.0,£
Enzo Fernández,Chelsea,MF,24-333,4,1,"1,330",15,,,6.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,24,180000.0,9360000.0,£
Zian Flemming,Burnley,"FW,MF",27-137,5,0,600,13,,,3.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,27,20000.0,1040000.0,£
Phil Foden,Manchester City,MF,25-202,7,2,"1,135",14,,,4.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,25,225000.0,11700000.0,£
Wesley Fofana,Chelsea,DF,24-364,0,0,578,8,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,24,200000.0,10400000.0,£
